Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Martin Luther,Upper Midwest,2-8,0.200,227,0.60,225,-53.10,224,0.21,223,-25.89,2.34,230,-43.23
Rockford,Northern Athletic,2-8,0.200,228,0.41,230,-57.11,209,5.00,238,-34.69,2.33,231,-43.32
Concordia IL,Northern Athletic,1-9,0.100,229,0.29,229,-56.88,219,2.90,233,-32.36,2.29,224,-41.62
Anderson IN,Heartland CAC,0-10,0.000,230,0.29,228,-56.77,225,0.12,228,-29.48,2.30,178,-28.79
Dean,East Coast,2-8,0.200,231,0.28,233,-61.75,230,-1.79,234,-32.54,2.21,228,-42.90
Oberlin,North Coast AC,1-9,0.100,232,0.24,232,-61.51,234,-3.12,231,-30.98,2.26,209,-35.68
Worcester St,MASCAC,1-9,0.100,233,0.16,231,-61.37,233,-3.00,230,-30.95,2.20,218,-39.74
Grinnell,Midwest,2-8,0.200,234,0.05,236,-65.00,237,-5.39,232,-32.19,2.21,235,-46.22
Beloit,Midwest,2-8,0.200,235,0.04,235,-64.64,235,-4.53,235,-32.69,2.25,238,-47.22
Westminster MO,Upper Midwest,1-8,0.111,236,-0.01,237,-66.11,239,-9.83,227,-28.86,2.23,232,-43.62
Crown MN,Upper Midwest,1-8,0.111,237,-0.09,234,-64.60,232,-2.98,236,-34.20,2.21,237,-47.16
